trial_id,combination_id,risk_probability,risk_reward,safe_reward,expected_value,size_condition,risk_ratio
1,1,25,240,60,60,both-large,25% × 240 vs 60
2,1,25,240,60,60,both-small,25% × 240 vs 60
3,1,25,240,60,60,risk-large,25% × 240 vs 60
4,1,25,240,60,60,safe-large,25% × 240 vs 60
5,2,25,360,90,90,both-large,25% × 360 vs 90
6,2,25,360,90,90,both-small,25% × 360 vs 90
7,2,25,360,90,90,risk-large,25% × 360 vs 90
8,2,25,360,90,90,safe-large,25% × 360 vs 90
9,3,25,480,120,120,both-large,25% × 480 vs 120
10,3,25,480,120,120,both-small,25% × 480 vs 120
11,3,25,480,120,120,risk-large,25% × 480 vs 120
12,3,25,480,120,120,safe-large,25% × 480 vs 120
13,4,25,600,150,150,both-large,25% × 600 vs 150
14,4,25,600,150,150,both-small,25% × 600 vs 150
15,4,25,600,150,150,risk-large,25% × 600 vs 150
16,4,25,600,150,150,safe-large,25% × 600 vs 150
17,5,25,720,180,180,both-large,25% × 720 vs 180
18,5,25,720,180,180,both-small,25% × 720 vs 180
19,5,25,720,180,180,risk-large,25% × 720 vs 180
20,5,25,720,180,180,safe-large,25% × 720 vs 180
21,6,25,840,210,210,both-large,25% × 840 vs 210
22,6,25,840,210,210,both-small,25% × 840 vs 210
23,6,25,840,210,210,risk-large,25% × 840 vs 210
24,6,25,840,210,210,safe-large,25% × 840 vs 210
25,7,25,960,240,240,both-large,25% × 960 vs 240
26,7,25,960,240,240,both-small,25% × 960 vs 240
27,7,25,960,240,240,risk-large,25% × 960 vs 240
28,7,25,960,240,240,safe-large,25% × 960 vs 240
29,8,25,1080,270,270,both-large,25% × 1080 vs 270
30,8,25,1080,270,270,both-small,25% × 1080 vs 270
31,8,25,1080,270,270,risk-large,25% × 1080 vs 270
32,8,25,1080,270,270,safe-large,25% × 1080 vs 270
33,9,25,1200,300,300,both-large,25% × 1200 vs 300
34,9,25,1200,300,300,both-small,25% × 1200 vs 300
35,9,25,1200,300,300,risk-large,25% × 1200 vs 300
36,9,25,1200,300,300,safe-large,25% × 1200 vs 300
37,10,25,1320,330,330,both-large,25% × 1320 vs 330
38,10,25,1320,330,330,both-small,25% × 1320 vs 330
39,10,25,1320,330,330,risk-large,25% × 1320 vs 330
40,10,25,1320,330,330,safe-large,25% × 1320 vs 330
41,11,50,120,60,60,both-large,50% × 120 vs 60
42,11,50,120,60,60,both-small,50% × 120 vs 60
43,11,50,120,60,60,risk-large,50% × 120 vs 60
44,11,50,120,60,60,safe-large,50% × 120 vs 60
45,12,50,180,90,90,both-large,50% × 180 vs 90
46,12,50,180,90,90,both-small,50% × 180 vs 90
47,12,50,180,90,90,risk-large,50% × 180 vs 90
48,12,50,180,90,90,safe-large,50% × 180 vs 90
49,13,50,240,120,120,both-large,50% × 240 vs 120
50,13,50,240,120,120,both-small,50% × 240 vs 120
51,13,50,240,120,120,risk-large,50% × 240 vs 120
52,13,50,240,120,120,safe-large,50% × 240 vs 120
53,14,50,300,150,150,both-large,50% × 300 vs 150
54,14,50,300,150,150,both-small,50% × 300 vs 150
55,14,50,300,150,150,risk-large,50% × 300 vs 150
56,14,50,300,150,150,safe-large,50% × 300 vs 150
57,15,50,360,180,180,both-large,50% × 360 vs 180
58,15,50,360,180,180,both-small,50% × 360 vs 180
59,15,50,360,180,180,risk-large,50% × 360 vs 180
60,15,50,360,180,180,safe-large,50% × 360 vs 180
61,16,50,420,210,210,both-large,50% × 420 vs 210
62,16,50,420,210,210,both-small,50% × 420 vs 210
63,16,50,420,210,210,risk-large,50% × 420 vs 210
64,16,50,420,210,210,safe-large,50% × 420 vs 210
65,17,50,480,240,240,both-large,50% × 480 vs 240
66,17,50,480,240,240,both-small,50% × 480 vs 240
67,17,50,480,240,240,risk-large,50% × 480 vs 240
68,17,50,480,240,240,safe-large,50% × 480 vs 240
69,18,50,540,270,270,both-large,50% × 540 vs 270
70,18,50,540,270,270,both-small,50% × 540 vs 270
71,18,50,540,270,270,risk-large,50% × 540 vs 270
72,18,50,540,270,270,safe-large,50% × 540 vs 270
73,19,50,600,300,300,both-large,50% × 600 vs 300
74,19,50,600,300,300,both-small,50% × 600 vs 300
75,19,50,600,300,300,risk-large,50% × 600 vs 300
76,19,50,600,300,300,safe-large,50% × 600 vs 300
77,20,50,660,330,330,both-large,50% × 660 vs 330
78,20,50,660,330,330,both-small,50% × 660 vs 330
79,20,50,660,330,330,risk-large,50% × 660 vs 330
80,20,50,660,330,330,safe-large,50% × 660 vs 330
81,21,75,80,60,60,both-large,75% × 80 vs 60
82,21,75,80,60,60,both-small,75% × 80 vs 60
83,21,75,80,60,60,risk-large,75% × 80 vs 60
84,21,75,80,60,60,safe-large,75% × 80 vs 60
85,22,75,120,90,90,both-large,75% × 120 vs 90
86,22,75,120,90,90,both-small,75% × 120 vs 90
87,22,75,120,90,90,risk-large,75% × 120 vs 90
88,22,75,120,90,90,safe-large,75% × 120 vs 90
89,23,75,160,120,120,both-large,75% × 160 vs 120
90,23,75,160,120,120,both-small,75% × 160 vs 120
91,23,75,160,120,120,risk-large,75% × 160 vs 120
92,23,75,160,120,120,safe-large,75% × 160 vs 120
93,24,75,200,150,150,both-large,75% × 200 vs 150
94,24,75,200,150,150,both-small,75% × 200 vs 150
95,24,75,200,150,150,risk-large,75% × 200 vs 150
96,24,75,200,150,150,safe-large,75% × 200 vs 150
97,25,75,240,180,180,both-large,75% × 240 vs 180
98,25,75,240,180,180,both-small,75% × 240 vs 180
99,25,75,240,180,180,risk-large,75% × 240 vs 180
100,25,75,240,180,180,safe-large,75% × 240 vs 180
101,26,75,280,210,210,both-large,75% × 280 vs 210
