trial_id,combination_id,risk_probability,risk_reward,safe_reward,expected_value,size_condition,risk_ratio
1,1,25,120,10,10,both-large,25% × 120 vs 10
2,2,25,120,14,14,both-large,25% × 120 vs 14
3,3,25,120,18,18,both-large,25% × 120 vs 18
4,4,25,120,22,22,both-large,25% × 120 vs 22
5,5,25,120,26,26,both-large,25% × 120 vs 26
6,6,25,120,30,30,both-large,25% × 120 vs 30
7,7,25,120,34,34,both-large,25% × 120 vs 34
8,8,50,120,20,20,both-large,50% × 120 vs 20
9,9,50,120,28,28,both-large,50% × 120 vs 28
10,10,50,120,36,36,both-large,50% × 120 vs 36
11,11,50,120,44,44,both-large,50% × 120 vs 44
12,12,50,120,52,52,both-large,50% × 120 vs 52
13,13,50,120,60,60,both-large,50% × 120 vs 60
14,14,50,120,68,68,both-large,50% × 120 vs 68
15,15,75,120,30,30,both-large,75% × 120 vs 30
16,16,75,120,42,42,both-large,75% × 120 vs 42
17,17,75,120,54,54,both-large,75% × 120 vs 54
18,18,75,120,66,66,both-large,75% × 120 vs 66
19,19,75,120,78,78,both-large,75% × 120 vs 78
20,20,75,120,90,90,both-large,75% × 120 vs 90
21,21,75,120,102,102,both-large,75% × 120 vs 102
22,22,25,300,25,25,both-large,25% × 300 vs 25
23,23,25,300,35,35,both-large,25% × 300 vs 35
24,24,25,300,45,45,both-large,25% × 300 vs 45
25,25,25,300,55,55,both-large,25% × 300 vs 55
26,26,25,300,65,65,both-large,25% × 300 vs 65
27,27,25,300,75,75,both-large,25% × 300 vs 75
28,28,25,300,85,85,both-large,25% × 300 vs 85
29,29,50,300,50,50,both-large,50% × 300 vs 50
30,30,50,300,70,70,both-large,50% × 300 vs 70
31,31,50,300,90,90,both-large,50% × 300 vs 90
32,32,50,300,110,110,both-large,50% × 300 vs 110
33,33,50,300,130,130,both-large,50% × 300 vs 130
34,34,50,300,150,150,both-large,50% × 300 vs 150
35,35,50,300,170,170,both-large,50% × 300 vs 170
36,36,75,300,75,75,both-large,75% × 300 vs 75
37,37,75,300,105,105,both-large,75% × 300 vs 105
38,38,75,300,135,135,both-large,75% × 300 vs 135
39,39,75,300,165,165,both-large,75% × 300 vs 165
40,40,75,300,195,195,both-large,75% × 300 vs 195
41,41,75,300,225,225,both-large,75% × 300 vs 225
42,42,75,300,255,255,both-large,75% × 300 vs 255
43,43,25,180,15,15,both-large,25% × 180 vs 15
44,44,25,180,21,21,both-large,25% × 180 vs 21
45,45,25,180,27,27,both-large,25% × 180 vs 27
46,46,25,180,33,33,both-large,25% × 180 vs 33
47,47,25,180,39,39,both-large,25% × 180 vs 39
48,48,25,180,45,45,both-large,25% × 180 vs 45
49,49,25,180,51,51,both-large,25% × 180 vs 51
50,50,50,180,30,30,both-large,50% × 180 vs 30
51,51,50,180,42,42,both-large,50% × 180 vs 42
52,52,50,180,54,54,both-large,50% × 180 vs 54
53,53,50,180,66,66,both-large,50% × 180 vs 66
54,54,50,180,78,78,both-large,50% × 180 vs 78
55,55,50,180,90,90,both-large,50% × 180 vs 90
56,56,50,180,102,102,both-large,50% × 180 vs 102
57,57,75,180,45,45,both-large,75% × 180 vs 45
58,58,75,180,63,63,both-large,75% × 180 vs 63
59,59,75,180,81,81,both-large,75% × 180 vs 81
60,60,75,180,99,99,both-large,75% × 180 vs 99
61,61,75,180,117,117,both-large,75% × 180 vs 117
62,62,75,180,135,135,both-large,75% × 180 vs 135
63,63,75,180,153,153,both-large,75% × 180 vs 153
64,64,25,7200000,600000,600000,both-large,25% × 7200000 vs 600000
65,65,25,7200000,840000,840000,both-large,25% × 7200000 vs 840000
66,66,25,7200000,1080000,1080000,both-large,25% × 7200000 vs 1080000
67,67,25,7200000,1320000,1320000,both-large,25% × 7200000 vs 1320000
68,68,25,7200000,1560000,1560000,both-large,25% × 7200000 vs 1560000
69,69,25,7200000,1800000,1800000,both-large,25% × 7200000 vs 1800000
70,70,25,7200000,2040000,2040000,both-large,25% × 7200000 vs 2040000
71,71,50,7200000,1200000,1200000,both-large,50% × 7200000 vs 1200000
72,72,50,7200000,1680000,1680000,both-large,50% × 7200000 vs 1680000
73,73,50,7200000,2160000,2160000,both-large,50% × 7200000 vs 2160000
74,74,50,7200000,2640000,2640000,both-large,50% × 7200000 vs 2640000
75,75,50,7200000,3120000,3120000,both-large,50% × 7200000 vs 3120000
76,76,50,7200000,3600000,3600000,both-large,50% × 7200000 vs 3600000
77,77,50,7200000,4080000,4080000,both-large,50% × 7200000 vs 4080000
78,78,75,7200000,1800000,1800000,both-large,75% × 7200000 vs 1800000
79,79,75,7200000,2520000,2520000,both-large,75% × 7200000 vs 2520000
80,80,75,7200000,3240000,3240000,both-large,75% × 7200000 vs 3240000
81,81,75,7200000,3960000,3960000,both-large,75% × 7200000 vs 3960000
82,82,75,7200000,4680000,4680000,both-large,75% × 7200000 vs 4680000
83,83,75,7200000,5400000,5400000,both-large,75% × 7200000 vs 5400000
84,84,75,7200000,6120000,6120000,both-large,75% × 7200000 vs 6120000
85,85,25,2000000,166667,166667,both-large,25% × 2000000 vs 166667
86,86,25,2000000,233333,233333,both-large,25% × 2000000 vs 233333
87,87,25,2000000,300000,300000,both-large,25% × 2000000 vs 300000
88,88,25,2000000,366667,366667,both-large,25% × 2000000 vs 366667
89,89,25,2000000,433333,433333,both-large,25% × 2000000 vs 433333
90,90,25,2000000,500000,500000,both-large,25% × 2000000 vs 500000
91,91,25,2000000,566667,566667,both-large,25% × 2000000 vs 566667
92,92,50,2000000,333333,333333,both-large,50% × 2000000 vs 333333
93,93,50,2000000,466667,466667,both-large,50% × 2000000 vs 466667
94,94,50,2000000,600000,600000,both-large,50% × 2000000 vs 600000
95,95,50,2000000,733333,733333,both-large,50% × 2000000 vs 733333
96,96,50,2000000,866667,866667,both-large,50% × 2000000 vs 866667
97,97,50,2000000,1000000,1000000,both-large,50% × 2000000 vs 1000000
98,98,50,2000000,1133333,1133333,both-large,50% × 2000000 vs 1133333
99,99,75,2000000,500000,500000,both-large,75% × 2000000 vs 500000
100,100,75,2000000,700000,700000,both-large,75% × 2000000 vs 700000
101,101,75,2000000,900000,900000,both-large,75% × 2000000 vs 900000
102,102,75,2000000,1100000,1100000,both-large,75% × 2000000 vs 1100000
103,103,75,2000000,1300000,1300000,both-large,75% × 2000000 vs 1300000
104,104,75,2000000,1500000,1500000,both-large,75% × 2000000 vs 1500000
105,105,75,2000000,1700000,1700000,both-large,75% × 2000000 vs 1700000
106,106,25,1600000,133333,133333,both-large,25% × 1600000 vs 133333
107,107,25,1600000,186667,186667,both-large,25% × 1600000 vs 186667
108,108,25,1600000,240000,240000,both-large,25% × 1600000 vs 240000
109,109,25,1600000,293333,293333,both-large,25% × 1600000 vs 293333
110,110,25,1600000,346667,346667,both-large,25% × 1600000 vs 346667
111,111,25,1600000,400000,400000,both-large,25% × 1600000 vs 400000
112,112,25,1600000,453333,453333,both-large,25% × 1600000 vs 453333
113,113,50,1600000,266667,266667,both-large,50% × 1600000 vs 266667
114,114,50,1600000,373333,373333,both-large,50% × 1600000 vs 373333
115,115,50,1600000,480000,480000,both-large,50% × 1600000 vs 480000
116,116,50,1600000,586667,586667,both-large,50% × 1600000 vs 586667
117,117,50,1600000,693333,693333,both-large,50% × 1600000 vs 693333
118,118,50,1600000,800000,800000,both-large,50% × 1600000 vs 800000
119,119,50,1600000,906667,906667,both-large,50% × 1600000 vs 906667
120,120,75,1600000,400000,400000,both-large,75% × 1600000 vs 400000
121,121,75,1600000,560000,560000,both-large,75% × 1600000 vs 560000
122,122,75,1600000,720000,720000,both-large,75% × 1600000 vs 720000
123,123,75,1600000,880000,880000,both-large,75% × 1600000 vs 880000
124,124,75,1600000,1040000,1040000,both-large,75% × 1600000 vs 1040000
125,125,75,1600000,1200000,1200000,both-large,75% × 1600000 vs 1200000
126,126,75,1600000,1360000,1360000,both-large,75% × 1600000 vs 1360000
