Sub,Trial,Condition,Condition Response 1 or 2,Confidence 1-100,Page Entry Time,Bar Choice Time,Page Submit Time,Test Condition,Risk Condition,Risky Option Amount,Safe Option Amount,EV Condition
"sub1",1,"risk-large","2",50,0.839,0.839,1.557,"risk-large","75;25",100,50,"Same"
"sub1",2,"safe-large","2",50,0.775,0.775,1.442,"safe-large","75;25",300,100,"Same"
"sub1",3,"both-large","1",50,0.932,0.932,1.551,"both-large","25;75",100,100,"Same"
"sub1",4,"both-large","1",50,0.454,0.454,1.248,"both-large","50;50",100,150,"Same"
"sub1",1,"both-small","1",100,1.283,1.283,2.599,"both-small","25;75",100,100,"Same"
"sub1",2,"both-large","1",100,0.466,0.466,2.634,"both-large","75;25",300,100,"Same"
"sub1",3,"safe-large","2",100,0.597,0.597,1.832,"safe-large","50;50",200,50,"Same"
"sub1",4,"risk-large","1",100,0.58,0.58,1.833,"risk-large","75;25",100,100,"Same"

"sub1",1,"both-small","1",32,1.473,1.473,2.806,"both-small","50;50",100,50,"Same"
"sub1",2,"both-small","2",50,1.66,1.66,2.26,"both-small","25;75",200,150,"Same"
"sub1",3,"both-large","1",50,0.617,0.617,1.099,"both-large","25;75",100,100,"Same"
"sub1",4,"risk-large","2",50,0.433,0.433,1.066,"risk-large","75;25",300,100,"Same"

"sub1",1,"risk-large","1",50,0.759,0.759,1.526,"risk-large","50;50",100,50,"Same"
"sub1",2,"both-small","2",50,1.212,1.212,1.864,"both-small","25;75",200,150,"Same"
"sub1",3,"both-large","2",50,0.628,0.628,1.197,"both-large","50;50",100,150,"Same"
"sub1",4,"both-large","1",50,0.464,0.464,1.199,"both-large","25;75",300,150,"Same"

"sub1",1,"both-small","1",50,1.332,1.332,2.068,"both-small","75;25",300,150,"Same"
"sub1",2,"both-large","2",50,58.547,58.547,59.128,"both-large","25;75",100,150,"Same"
"sub1",3,"risk-large","1",50,0.948,4.348,5.248,"risk-large","75;25",300,100,"Same"
"sub1",4,"safe-large","1",50,0.616,0.616,1.464,"safe-large","75;25",200,100,"Same"

"sub1",1,"risk-large","1",50,1.378,1.378,2.062,"risk-large","25;75",300,150,"Same"
"sub1",2,"both-small","1",50,2.33,2.33,3.115,"both-small","75;25",100,100,"Same"
"sub1",3,"safe-large","2",50,90.449,91.433,92.216,"safe-large","75;25",200,100,"Same"
"sub1",4,"risk-large","1",50,0.596,0.596,1.18,"risk-large","25;75",200,50,"Same"

"sub1",1,"risk-large","1",50,2.766,6.748,7.651,"risk-large","75;25",300,150,"Same"
"sub1",2,"both-small","2",50,1.083,7.549,8.417,"both-small","25;75",100,100,"Same"
"sub1",3,"both-large","2",50,0.67,0.67,1.316,"both-large","50;50",200,150,"Same"
"sub1",4,"both-large","2",50,0.55,0.55,1.382,"both-large","75;25",100,150,"Same"

"sub1",1,"risk-large","1",50,1.295,1.86,2.978,"risk-large","50;50",200,100,"Same"
"sub1",2,"safe-large","2",50,0.514,0.514,1.182,"safe-large","50;50",300,100,"Same"
"sub1",3,"risk-large","1",50,0.581,0.581,1.162,"risk-large","50;50",100,50,"Same"
"sub1",4,"safe-large","1",50,0.55,0.55,1.433,"safe-large","75;25",300,50,"Same"

"sub1",1,"risk-large","2",50,0.833,0.833,1.668,"risk-large","75;25",300,150,"Same"
"sub1",2,"safe-large","2",50,0.712,0.712,1.429,"safe-large","75;25",100,150,"Same"
"sub1",3,"risk-large","1",78,0.566,0.566,1.817,"risk-large","25;75",300,100,"Same"
"sub1",4,"safe-large","2",70,0.533,0.533,2.2,"safe-large","25;75",100,100,"Same"
"sub1",5,"both-small","2",50,0.584,0.584,1.398,"both-small","75;25",300,50,"Same"
"sub1",6,"risk-large","1",77,0.682,0.682,2.152,"risk-large","50;50",100,100,"Same"
"sub1",7,"both-large","1",21,0.53,0.53,1.647,"both-large","75;25",200,100,"Same"
"sub1",8,"both-small","2",70,0.515,0.515,1.632,"both-small","75;25",200,150,"Same"
